Sentence #,Word,POS,Tag
Sentence: 1,اسلام آباد,PROPN,GPE
,(,PUNCT,OTH
,این این آئی,PROPN,ORG
,),PUNCT,OTH
,مزن وزیر,NOUN,OTH
,شہباز شریف,PROPN,PER
,ءَ,ADP,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,ملک,NOUN,OTH
,ءَ,ADP,OTH
,کرونا وائرس,NOUN,OTH
,ءِ,ADP,OTH
,بیماری,NOUN,OTH
,ءَ,ADP,OTH
,چہ,ADP,OTH
,رکھینگ,VERB,OTH
,ءِ,ADP,OTH
,پہریزی تدابیر,NOUN,OTH
,ءِ,ADP,OTH
,سرا,ADV,OTH
,عمل,NOUN,OTH
,کنگ,VERB,OTH
,لوٹیت,AUX,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
Sentence: 2,چارشمبے,PROPN,DATE
,ءَ,ADP,OTH
,ٹوئٹ,NOUN,OTH
,ءَ,ADP,OTH
,مزن,ADJ,OTH
,وزیر,NOUN,OTH
,ءَ,ADP,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,کرونا,NOUN,OTH
,کیس,NOUN,OTH
,ءِ,ADP,OTH
,پدا,ADJ,OTH
,ءَ,ADP,OTH
,چہ,ADP,OTH
,گیش بوتگیں,ADJ,OTH
,کچ,NOUN,OTH
,ءِ,ADP,OTH
,سبب,NOUN,OTH
,ءَ,ADP,OTH
,نی,ADV,OTH
,سرجمیں,ADJ,OTH
,قوم,NOUN,OTH
,ءَ,ADP,OTH
,گوں,ADP,OTH
,اپیل,NOUN,OTH
,انت,AUX,OTH
,کہ,CCONJ,OTH
,کرونا,NOUN,OTH
,ءِ,ADP,OTH
,بابت,ADP,OTH
,ءَ,ADP,OTH
,پنتءُ شون,NOUN,OTH
,ءُ,CCONJ,OTH
,ایس او پیز,NOUN,OTH
,ءِ,ADP,OTH
,سرا,ADV,OTH
,عمل,NOUN,OTH
,بہ کناں,VERB,OTH
,.,PUNCT,OTH
Sentence: 3,آئیءَ,PRON,OTH
,گشتگ,VERB,OTH
,کہ,CCONJ,OTH
,مئے,PRON,OTH
,فرنٹ لائن,ADJ,OTH
,ورکرز,NOUN,OTH
,ءَ,ADP,OTH
,ڈاکٹرز,NOUN,OTH
,ءَ,ADP,OTH
,مارا,PRON,OTH
,رکھینگ,VERB,OTH
,ءِ,ADP,OTH
,ھاترا,ADP,OTH
,بازیں,ADJ,OTH
,قربانی,NOUN,OTH
,داتگ,VERB,OTH
,.,PUNCT,OTH
Sentence: 4,مارا,PRON,OTH
,کرونا,NOUN,OTH
,وائرس,NOUN,OTH
,ءِ,ADP,OTH
,ہوپ,ADJ,OTH
,ءِ,ADP,OTH
,ھلاپ,ADP,OTH
,اے,DET,OTH
,رستگیں,ADJ,OTH
,سوب مندیاں,NOUN,OTH
,پدر,NOUN,OTH
,نہ,ADV,OTH
,کنگی,VERB,OTH
,انت,AUX,OTH
,.,PUNCT,OTH
